player_name,team_tag,season_uvi,ppp,total_pitches,games
Matt Brash,SEA,133.9,-0.006817228260869565,828,53
Ryan Brasier,CHC,151.8,-0.006777652406417114,374,27
Huascar Brazobán,NYM,99.8,-0.016425949852507372,1017,52
John Brebbia,ATL,-14.3,-0.04098547619047619,84,3
John Brebbia,DET,100.9,-0.016398037234042553,376,19
Jonah Bride,MIN,64.6,-0.024304385964912283,114,4
Beau Brieske,DET,-21.0,-0.04247157701711491,409,22
Jeff Brigham,AZ,-667.1,-0.1791968253968254,63,4
Connor Brogdon,LAA,69.9,-0.0227258511137163,853,43
Ben Brown,CHC,47.7,-0.028180282172373082,1694,24
Hunter Brown,HOU,158.0,-0.004856183625336927,2968,31
McCade Brown,COL,-11.6,-0.04010479282868526,502,7
JT Brubaker,NYY,205.2,0.004197286821705428,258,12
JT Brubaker,SF,184.7,0.0031865906976744174,215,5
Justin Bruihl,TOR,138.6,-0.008626131004366813,229,15
Vidal Bruján,ATL,-25.8,-0.043384782608695646,23,2
Zach Brzykcy,WSH,130.2,-0.010133606521739133,460,26
Kris Bubic,KC,128.5,-0.01021666870483602,1799,20
Walker Buehler,BOS,62.1,-0.025693084900864263,1967,23
Walker Buehler,PHI,231.6,0.008709683035714287,224,3
Aaron Bummer,ATL,133.3,-0.01003583086680761,946,42
Nick Burdi,BOS,204.0,0.0023908433734939746,83,4
Juan Burgos,AZ,-184.7,-0.07707874803149607,127,9
Juan Burgos,SEA,149.0,-0.0033154639175257713,97,4
Brock Burke,LAA,111.4,-0.013664238326848249,1028,69
Sean Burke,CWS,82.1,-0.020057252521008404,2380,28
Alec Burleson,STL,87.9,-0.019371428571428578,7,1
Corbin Burnes,AZ,113.6,-0.013924104950495047,1010,11
Chase Burns,CIN,103.2,-0.017364105882352942,765,13
Ryan Burr,TOR,245.2,0.013921923076923077,39,2
Mike Burrows,PIT,117.4,-0.01152889169909209,1542,23
José Buttó,NYM,100.1,-0.016355311787072245,789,34
José Buttó,SF,36.1,-0.029940220820189278,317,21
José Caballero,TB,-273.0,-0.09817142857142858,28,1
Edward Cabrera,MIA,117.2,-0.01128968175765646,2253,26
Génesis Cabrera,CHC,21.1,-0.03364893103448276,145,9
Génesis Cabrera,MIN,-24.6,-0.043179279863481225,293,16
Génesis Cabrera,NYM,179.0,0.0006903130434782603,115,6
Génesis Cabrera,PIT,131.3,-0.008404586826347307,167,9
Noah Cameron,KC,105.9,-0.0151085020766036,2167,24
Isaiah Campbell,BOS,103.0,-0.017594036697247704,109,6
