"entity_name","entity_id","team_name","year","runner_runs","fielder_runs","runner_runs_advances","runner_runs_thrown_out","runner_runs_hold","fielder_runs_advances","fielder_runs_thrown_out","fielder_runs_hold","n_opp_xb","n_att_xb","rate_att_xb","est_rate_att_generic_runner","est_rate_att_generic_fielder","n_out","n_safe","rate_safe","rate_safe_per_attempt"
"Lowe, Nathaniel",663993,"BOS",2025,-0.015423235442125963,-0.15936927468962372,0.4279004209094137,0,-0.4433236563515396,-0.5085538861642753,0,0.3491846114746517,26,8,0.3076923076923077,0.3541350462429701,0.3261034939617219,0,8,0.3076923076923077,1
"Garcia, Jhostynxon",691373,"BOS",2025,0.0009656656418479258,-0.001109840166095606,0.0018226869226345569,0,-0.000857021280786631,-0.0017973697438860134,0,0.0006875295777904073,2,1,0.5,0.5001791236963091,0.4997121511566244,0,1,0.5,1
"Sogard, Nick",686765,"BOS",2025,-1.6700173355666101,1.70221613524893,0.5422478717750867,-1.8322508973311555,-0.3800143100105414,-0.5286419758814254,1.8465112243733908,0.3843468867569646,27,12,0.4444444444444445,0.4496659850274557,0.457632514802339,2,10,0.37037037037037035,0.8333333333333334
"Wong, Connor",657136,"BOS",2025,-0.7165317995930248,1.121097989438345,0.7643786428768696,-0.7481580099665929,-0.7327524325033014,-0.6251363595544867,0.7477722108983004,0.9984621380945312,47,10,0.21276595744680862,0.2213912327831939,0.25903920231056854,1,9,0.19148936170212766,0.9
"Sabol, Blake",666165,"BOS",2025,-0.06019087196767996,0.04274742537792201,0.07069465441434032,0,-0.13088552638202028,-0.07055947249462848,0,0.1133068978725505,6,3,0.5,0.5691092537101923,0.5560942397777654,0,3,0.5,1
"Narváez, Carlos",665966,"BOS",2025,-1.2418022515529352,-0.86667846106425,1.3238976999389551,-0.9466389169874161,-1.619061034504475,-2.422428010436141,0.8558347966414864,0.6999147527304044,81,27,0.3333333333333334,0.3814338072261853,0.28133166017922745,1,26,0.32098765432098775,0.9629629629629629
"Gonzalez, Romy",663853,"BOS",2025,-0.5797097202237169,1.349286569429768,1.7726224031237026,-1.6912099981637976,-0.6611221251836208,-1.417995215931711,1.7519934116319411,1.0152883737295377,82,31,0.3780487804878049,0.3399604286966378,0.37880442462050234,2,29,0.35365853658536595,0.9354838709677419
"Casas, Triston",671213,"BOS",2025,-0.24756241106333615,-0.36076671462103777,0.29545225176309287,0,-0.543014662826429,-0.4637937944927673,0,0.10302707987172954,18,3,0.16666666666666669,0.279267625260696,0.1254537648191035,0,3,0.16666666666666669,1
"Bregman, Alex",608324,"BOS",2025,-0.9158024996544528,0.27380637705562677,1.5864741258808246,-0.9246603169170574,-1.5776163086182204,-1.7641033368500953,0.8919773919023134,1.1459323220034086,113,34,0.30088495575221236,0.3363888780561229,0.31165172465887236,1,33,0.29203539823008845,0.9705882352941176
"Rafaela, Ceddanne",678882,"BOS",2025,2.752753034779453,-0.9301139234147313,4.5917554957706175,-0.7746326055200992,-1.0643698554710659,-3.3468930377743384,0.7951423055677355,1.6216368087918716,124,59,0.47580645161290325,0.3931391767477406,0.4519099017394014,1,58,0.4677419354838711,0.9830508474576272
"Campbell, Kristian",692225,"BOS",2025,0.5190891940004334,-0.7472169102935114,1.8350822703470036,-0.8030006684502752,-0.512992407896295,-1.9996301277364026,0.7886192357185511,0.4637939817243397,53,21,0.39622641509433953,0.34144795592001864,0.32575494628634444,1,20,0.3773584905660378,0.9523809523809523
"Refsnyder, Rob",608701,"BOS",2025,-0.7060889200596081,0.5603093820216931,0.5146888016529546,0,-1.2207777217125626,-0.5338075642703605,0,1.0941169462920532,43,14,0.32558139534883723,0.42896123444824075,0.414619769618209,0,14,0.32558139534883723,1
"Duran, Jarren",680776,"BOS",2025,5.905034703368624,-2.241988032837557,8.101745460400412,-1.5384266325697333,-0.6582841244620559,-5.762914354994778,1.6184171032009544,1.9025092189562673,158,80,0.5063291139240508,0.3410951419826656,0.4430534643091738,2,78,0.4936708860759495,0.975
"Abreu, Wilyer",677800,"BOS",2025,-0.4123155957880809,0.3212724284045658,1.124298730624996,0,-1.5366143264130774,-1.1379272131468288,0,1.4591996415513941,75,21,0.28000000000000014,0.33856919255936146,0.33373802943081005,0,21,0.28000000000000014,1
"Toro, Abraham",647351,"BOS",2025,-2.191304527203128,2.5093087435181856,1.029473052452498,-2.4094962508422584,-0.8112813288133675,-0.8831249309311409,2.4277405077099274,0.9646931667393988,59,19,0.3220338983050847,0.3096927624767905,0.3352105966805367,3,16,0.2711864406779661,0.8421052631578947
"Story, Trevor",596115,"BOS",2025,2.9430723554342832,-1.0349416037905907,5.035512058003978,-0.7720401779842222,-1.3203995245854723,-3.9742441744673394,0.8133440369388496,2.1259585337378977,133,50,0.37593984962406013,0.2976171894046466,0.35703532075675387,1,49,0.368421052631579,0.98
"Hamilton, David",666152,"BOS",2025,0.7328630246137925,-0.16520795797723117,0.9592064998802323,0,-0.2263434752664398,-0.6789144243290082,0,0.513706466351777,28,13,0.46428571428571425,0.39487452354926317,0.47834716200331134,0,13,0.46428571428571425,1
"Eaton, Nate",681987,"BOS",2025,-0.042042623936624585,0.5736282757008316,1.1468938608046904,-0.7578817893042961,-0.43105469543701885,-0.9180398221375098,0.7782167323512952,0.7134513654870464,26,14,0.5384615384615385,0.43787920713927925,0.5140528775150678,1,13,0.5,0.9285714285714286
"Anthony, Roman",701350,"BOS",2025,1.4074826759646808,-1.2803082533551513,2.2177606583565854,0,-0.8102779823919036,-2.1330044543119944,0,0.8526962009568428,79,28,0.3544303797468354,0.3254660559083463,0.3323546704894908,0,28,0.3544303797468354,1
"Devers, Rafael",646240,"BOS",2025,-0.8630504175053054,0.08079117718781967,1.0013298030459512,0,-1.864380220551257,-1.2545738677732883,0,1.3353650449611085,81,21,0.25925925925925936,0.35412838278670267,0.3108085551540298,0,21,0.25925925925925936,1
"Yoshida, Masataka",807799,"BOS",2025,-0.11212455720211567,-0.5775834767879238,0.8819180280030468,0,-0.9940425852051628,-1.1443735806736948,0,0.5667901038857711,50,12,0.24000000000000005,0.29343138577626876,0.2323751749919199,0,12,0.24000000000000005,1
"Mayer, Marcelo",691785,"BOS",2025,0.8040997645698249,-0.8839970637203796,1.0520482294021964,0,-0.24794846483237146,-1.1236725033245683,0,0.2396754396041887,28,13,0.4642857142857143,0.40856443500545103,0.39706676856346235,0,13,0.4642857142857143,1
