player_name,team_tag,batting_uvi,speed_bonus,hustle_bonus,defense_bonus,burst_bonus,complete_uvi,sprint_speed,bolts,oaa,frp,ppp,total_pitches,games,batted_balls
Everson Pereira,TB,10.1,2.0,0.0,-1.5,-0.2,10.4,28.3,0.0,-1.0,-1.0,-0.009594286644951142,307,22,37
Julio Rodríguez,SEA,190.0,3.8,-0.0,15.0,-0.3,208.5,29.2,56.0,11.0,10.0,0.03203017334391115,2521,160,494
Ronny Mauricio,NYM,86.5,-3.0,-0.0,4.5,0.3,88.3,25.8,0.0,3.0,3.0,0.009552124820659971,697,58,113
Ezequiel Duran,TEX,17.1,3.0,-0.0,3.0,-0.2,22.9,28.8,1.0,2.0,2.0,-0.007522418316831684,808,76,152
Wilyer Abreu,BOS,173.1,0.6,0.0,10.5,-0.2,184.0,27.6,1.0,8.0,7.0,0.03515314144533663,1619,112,276
Leo Jimenez,TOR,33.6,-0.8,0.0,1.5,0.0,34.3,26.9,0.0,1.0,1.0,-0.003486493055555555,144,13,21
Jordyn Adams,BAL,-220.3,0.0,-0.0,0.0,0.0,-220.3,,0.0,0.0,0.0,-0.06542,14,4,3
Blaze Alexander,AZ,123.0,3.0,0.0,1.5,-0.2,127.3,28.8,4.0,1.0,1.0,0.01930700766283525,1044,68,146
Will Banfield,CIN,-70.0,0.0,0.0,0.0,0.0,-70.0,,0.0,0.0,0.0,-0.03098079545454546,44,5,4
Alek Thomas,AZ,62.0,2.0,0.0,0.0,-0.3,63.7,28.3,0.0,0.0,0.0,0.003741744934445769,1678,134,319
Bobby Witt,KC,170.9,5.8,0.0,15.0,-0.5,191.2,30.2,101.0,24.0,18.0,0.030653374114870183,2542,157,500
Rece Hinds,CIN,75.5,5.0,0.0,-1.5,-0.3,78.7,29.8,4.0,-2.0,-1.0,0.008341198830409353,171,14,22
Parker Meadows,DET,63.8,3.4,0.0,6.0,-0.4,72.8,29.0,6.0,4.0,4.0,0.004033169965075668,859,56,136
Anthony Seigler,MIL,13.2,-1.2,-0.0,0.0,0.0,12.0,26.7,0.0,-1.0,0.0,-0.00862851086956522,276,33,48
Ji Hwan Bae,PIT,-44.8,2.6,0.0,0.0,0.0,-42.2,28.6,2.0,0.0,0.0,-0.022792186274509803,102,8,11
Miguel Vargas,CWS,132.2,0.4,-0.0,-6.0,0.2,126.8,27.5,0.0,-6.0,-4.0,0.02063931642304385,2326,138,406
Jorbit Vivas,NYY,38.4,-2.0,0.0,-1.5,-0.1,34.8,26.3,0.0,-1.0,-1.0,-0.0019690731707317083,246,27,43
Jorge Barrosa,AZ,-34.8,3.2,0.0,6.0,-0.2,-25.8,28.9,2.0,4.0,4.0,-0.020922756097560977,328,28,52
Curtis Mead,CWS,63.8,-0.8,-0.4,0.0,0.2,62.8,26.9,0.0,0.0,0.0,0.0037061460905349797,486,40,95
Curtis Mead,TB,75.5,-0.8,0.5,0.0,0.2,75.4,26.9,0.0,0.0,0.0,0.006409444652908068,533,48,82
Ezequiel Tovar,COL,86.0,0.6,-0.0,3.0,0.0,89.6,27.6,0.0,3.0,2.0,0.013155575798776346,1471,95,268
Jhonkensy Noel,CLE,43.4,-0.4,-0.0,-3.0,0.2,40.2,27.1,0.0,-2.0,-2.0,-0.0011153510638297862,564,61,96
Ceddanne Rafaela,BOS,126.8,3.6,-0.0,15.0,-0.4,145.0,29.1,18.0,21.0,19.0,0.02252299107142857,2128,151,432
